dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_Bottom,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-17T12-40-00Z,45.7616667,13.4963333,11.71,22.38,103.86,-0.041,-0.018,0.045,246.3,0.075,-0.145,0.163,152.65
2024-09-17T12-50-00Z,45.7616667,13.4963333,11.67,22.38,126.68,-0.025,0.001,0.025,272.29,0.06,-0.178,0.188,161.37
2024-09-17T13-00-00Z,45.7616667,13.4963333,11.64,22.37,139.68,-0.036,0.012,0.038,288.43,0.07,-0.199,0.211,160.62
2024-09-17T13-10-00Z,45.7616667,13.4963333,11.59,22.37,117.6,-0.048,0.016,0.051,288.43,0.116,-0.196,0.228,149.38
2024-09-17T13-20-00Z,45.7616667,13.4963333,11.56,22.37,123.35,-0.024,0.034,0.042,324.78,0.066,-0.22,0.23,163.3
2024-09-17T13-30-00Z,45.7616667,13.4963333,11.51,22.37,95.97,-0.074,-0.03,0.08,247.93,0.053,-0.17,0.178,162.68
2024-09-17T13-40-00Z,45.7616667,13.4963333,11.47,22.37,122.31,-0.099,-0.005,0.099,267.11,0.068,-0.227,0.237,163.32
2024-09-17T13-50-00Z,45.7616667,13.4963333,11.44,22.37,84.87,-0.033,0.005,0.033,278.62,0.066,-0.147,0.161,155.82
2024-09-17T14-00-00Z,45.7616667,13.4963333,11.42,22.36,90.45,-0.084,0.024,0.087,285.95,0.067,-0.172,0.185,158.72
2024-09-17T14-10-00Z,45.7616667,13.4963333,11.4,22.36,55.12,-0.038,0.033,0.05,310.97,0.062,-0.123,0.138,153.25
2024-09-17T14-20-00Z,45.7616667,13.4963333,11.39,22.36,56.94,-0.038,0.035,0.052,312.65,0.05,-0.119,0.129,157.21
2024-09-17T14-30-00Z,45.7616667,13.4963333,11.38,22.36,77.52,-0.022,0.025,0.033,318.65,0.032,-0.14,0.144,167.12
2024-09-17T14-40-00Z,45.7616667,13.4963333,11.37,22.36,96.79,-0.067,-0.004,0.067,266.58,0.058,-0.167,0.177,160.85
2024-09-17T14-50-00Z,45.7616667,13.4963333,11.35,22.36,65.01,-0.081,0.033,0.087,292.17,0.03,-0.138,0.141,167.74
2024-09-17T15-00-00Z,45.7616667,13.4963333,11.35,22.36,74.43,-0.047,-0.018,0.05,249.04,0.049,-0.116,0.126,157.1
2024-09-17T15-10-00Z,45.7616667,13.4963333,11.35,22.36,33.24,-0.048,0.026,0.055,298.44,0.011,-0.07,0.071,171.07
2024-09-17T15-20-00Z,45.7616667,13.4963333,11.37,22.36,43.4,-0.015,-0.012,0.019,231.34,0.02,-0.067,0.07,163.38
2024-09-17T15-40-00Z,45.7616667,13.4963333,11.4,22.36,11.41,0.002,0.037,0.037,3.09,0.022,-0.008,0.023,109.98
2024-09-17T15-50-00Z,45.7616667,13.4963333,11.43,22.35,3.16,-0.007,0.012,0.014,329.74,-0.04,-0.011,0.041,254.62
2024-09-17T16-00-00Z,45.7616667,13.4963333,11.47,22.35,-11.25,-0.017,0.025,0.03,325.78,-0.003,0.025,0.025,353.16
2024-09-17T16-10-00Z,45.7616667,13.4963333,11.51,22.34,8.18,-0.011,0.002,0.011,280.3,0.011,0.013,0.017,40.24
