dateTime,latitude,longitude,PRES,TEMP,RVFL,EWCT_BottomAvrg,NSCT_BottomAvrg,Int_BottomAvrg,Dir_BottomAvrg,EWCT_TopAvrg,NSCT_TopAvrg,Int_TopAvrg,Dir_TopAvrg
2024-09-24T21-00-00Z,45.7616667,13.4963333,11.74,21.1,59.72,-0.016,0.048,0.051,341.57,-0.009,-0.113,0.113,184.55
2024-09-24T21-10-00Z,45.7616667,13.4963333,11.76,21.1,73.26,-0.022,0.014,0.026,302.47,0.027,-0.105,0.108,165.58
2024-09-24T21-20-00Z,45.7616667,13.4963333,11.77,21.1,118.29,-0.007,0.035,0.036,348.69,0.036,-0.17,0.174,168.04
2024-09-24T21-30-00Z,45.7616667,13.4963333,11.77,21.1,124.5,-0.012,0.023,0.026,332.45,0.054,-0.169,0.177,162.28
2024-09-24T21-40-00Z,45.7616667,13.4963333,11.79,21.1,103.61,-0.012,0.046,0.048,345.38,0.002,-0.152,0.152,179.25
2024-09-24T21-50-00Z,45.7616667,13.4963333,11.79,21.1,108.86,-0.029,-0,0.029,270,0.056,-0.136,0.147,157.62
2024-09-24T22-00-00Z,45.7616667,13.4963333,11.8,21.1,81.53,-0.046,0.02,0.05,293.5,0.073,-0.105,0.128,145.19
2024-09-24T22-10-00Z,45.7616667,13.4963333,11.82,21.1,130.16,-0.019,0.025,0.031,322.77,0.043,-0.185,0.19,166.91
2024-09-24T22-20-00Z,45.7616667,13.4963333,11.83,21.1,111.38,-0.027,0.006,0.028,282.53,0.042,-0.149,0.155,164.26
2024-09-24T22-30-00Z,45.7616667,13.4963333,11.83,21.1,123.19,-0.055,0.014,0.057,284.28,0.069,-0.167,0.181,157.55
